step,policy_arm_delta,command_arm_delta,observed_arm_delta,policy_gripper_delta,command_gripper_delta,observed_gripper_delta,command_arm_delta_change,command_gripper_delta_change,command_follow_error_arm,command_follow_error_gripper,target_period_sec,step_elapsed_sec,control_overrun
54,0.06328606605529785,0.00762784481048584,0.0010775327682495117,0.003721177577972412,0.003721177577972412,0.003721177577972412,0.0040000006556510925,0.00909799337387085,0.006938934326171875,0.0,0.04,0.04314692597836256,True
55,0.05867886543273926,0.011627793312072754,0.0019099712371826172,0.0034666061401367188,0.0034666061401367188,0.0034666061401367188,0.0040000006556510925,0.0010388493537902832,0.009717822074890137,0.0,0.04,0.04279237589798868,True
56,0.06535927951335907,0.014999985694885254,0.0023441314697265625,0.00668412446975708,0.00668412446975708,0.00668412446975708,0.0040000006556510925,0.010150730609893799,0.012655854225158691,0.0,0.04,0.043236008961685,True
57,0.09347284585237503,0.014999985694885254,0.00261080265045166,0.0049307942390441895,0.0049307942390441895,0.0049307942390441895,0.0040000006556510925,0.006180465221405029,0.012662291526794434,0.0,0.04,0.04003262205515057,True
58,0.12321983277797699,0.014999998733401299,0.003476738929748535,0.0023519396781921387,0.0023519396781921387,0.0023519396781921387,0.0040000006556510925,0.007282733917236328,0.012597063556313515,0.0,0.04,0.04749647306744009,True
59,0.1208169013261795,0.014999998733401299,0.0030142702162265778,0.0,0.0,0.0,0.0040000006556510925,0.0023519396781921387,0.012396931648254395,0.0,0.04,0.04389176797121763,True
60,0.11780262738466263,0.015000004321336746,0.002999627962708473,0.0,0.0,0.0,0.0026232190430164337,0.0,0.01254982128739357,0.0,0.04,0.0439610950415954,True
61,0.1148030012845993,0.015000000596046448,0.003410816192626953,0.0,0.0,0.0,0.0019254684448242188,0.0,0.01214764453470707,0.0,0.04,0.047463134047575295,True
62,0.11195064336061478,0.015000002458691597,0.0029632002115249634,0.0,0.0,0.0,0.0021399259567260742,0.0,0.01241302490234375,0.0,0.04,0.043401979957707226,True
63,0.10931634902954102,0.015000000596046448,0.0026895850896835327,0.0,0.0,0.0,0.001107931137084961,0.0,0.012426137924194336,0.0,0.04,0.04335865005850792,True
64,0.10662676393985748,0.015000000596046448,0.0027643442153930664,0.0,0.0,0.0,0.0005567073822021484,0.0,0.01232042908668518,0.0,0.04,0.04441595799289644,True
65,0.10394719243049622,0.015000000596046448,0.002715073525905609,0.0,0.0,0.0,0.00045168399810791016,0.0,0.012371186167001724,0.0,0.04,0.04360474296845496,True
66,0.1013183742761612,0.015000000596046448,0.002611342817544937,0.0,0.0,0.0,0.00037229061126708984,0.0,0.012416720390319824,0.0,0.04,0.043818322010338306,True
67,0.09870703518390656,0.015000000596046448,0.0026340484619140625,0.0,0.0,0.0,0.0003075599670410156,0.0,0.012377023696899414,0.0,0.04,0.043686253018677235,True
68,0.09607978910207748,0.015000000596046448,0.002885952591896057,0.0,0.0,0.0,0.00025403499603271484,0.0,0.01213478296995163,0.0,0.04,0.047404675045982,True
69,0.09321457147598267,0.015000000596046448,0.002595726400613785,0.0,0.0,0.0,0.0002269744873046875,0.0,0.012410402297973633,0.0,0.04,0.043484039953909814,True
70,0.09061884880065918,0.015000000596046448,0.002347588539123535,0.0,0.0,0.0,0.0001704692840576172,0.0,0.0126543790102005,0.0,0.04,0.04007307894062251,True
71,0.08827126026153564,0.015000000596046448,0.0026585012674331665,0.0,0.0,0.0,0.0013492107391357422,0.0,0.01234528049826622,0.0,0.04,0.04302645998541266,True
72,0.08561654388904572,0.015000000596046448,0.002383023500442505,0.0,0.0,0.0,0.002655506134033203,0.0,0.012618184089660645,0.0,0.04,0.04048098996281624,True
73,0.08323420584201813,0.015000000596046448,0.0030669644474983215,0.0,0.0,0.0,0.002303481101989746,0.0,0.01193380355834961,0.0,0.04,0.05125267000403255,True
74,0.08016723394393921,0.015000000596046448,0.0028228387236595154,0.0,0.0,0.0,0.002190113067626953,0.0,0.012178078293800354,0.0,0.04,0.047142051975242794,True
75,0.07734531909227371,0.015000000596046448,0.002291843295097351,0.0,0.0,0.0,0.0012695789337158203,0.0,0.012708425521850586,0.0,0.04,0.03968257503584027,False
76,0.07505372166633606,0.015000000596046448,0.0024551227688789368,0.0,0.0,0.0,0.0022916793823242188,0.0,0.012545108795166016,0.0,0.04,0.03953487193211913,False
77,0.07259859889745712,0.015000000596046448,0.0029599666595458984,0.0,0.0,0.0,0.002415895462036133,0.0,0.01204007863998413,0.0,0.04,0.048051543068140745,True
78,0.0696386769413948,0.015000000596046448,0.00276339054107666,0.0,0.0,0.0,0.0029598698019981384,0.0,0.012236639857292175,0.0,0.04,0.04812772595323622,True
79,0.05382263660430908,0.01100003719329834,0.0032997876405715942,0.0023561716079711914,0.0023561716079711914,0.0023561716079711914,0.0040000006556510925,0.0023561716079711914,0.007700324058532715,0.0,0.04,0.05497588205616921,True
80,0.03927244991064072,0.015000000596046448,0.0020262226462364197,0.0023561716079711914,0.0023561716079711914,0.0023561716079711914,0.0040000006556510925,0.004712343215942383,0.012973777949810028,0.0,0.04,0.03974719694815576,False
81,0.07617151737213135,0.015000000596046448,0.0014671236276626587,0.013177156448364258,0.013177156448364258,0.013177156448364258,0.0040000006556510925,0.01553332805633545,0.013768859207630157,0.0,0.04,0.03960510902106762,False
82,0.09572483599185944,0.015000000596046448,0.003375992178916931,0.008055508136749268,0.008055508136749268,0.008055508136749268,0.003999948501586914,0.021232664585113525,0.012112058699131012,0.0,0.04,0.04383005003910512,True
83,0.11616528034210205,0.015000000596046448,0.0032905936241149902,0.00512164831161499,0.00512164831161499,0.00512164831161499,0.004000000189989805,0.0029338598251342773,0.012551665306091309,0.0,0.04,0.04380079708062112,True
84,0.1742296814918518,0.015000000596046448,0.003326892852783203,0.0037224888801574707,0.0037224888801574707,0.0037224888801574707,0.003999948501586914,0.007454633712768555,0.012511111795902252,0.0,0.04,0.047303025028668344,True
85,0.17163154482841492,0.015000000596046448,0.0026650428771972656,0.0,0.0,0.0,0.003999948501586914,0.0037224888801574707,0.012690804898738861,0.0,0.04,0.039680443005636334,False
86,0.16932234168052673,0.015000000596046448,0.0027831345796585083,0.0,0.0,0.0,0.003999948501586914,0.0,0.012359976768493652,0.0,0.04,0.04385272099170834,True
87,0.16653922200202942,0.015000000596046448,0.002738475799560547,0.0,0.0,0.0,0.0011676549911499023,0.0,0.012414328753948212,0.0,0.04,0.04340404807589948,True
88,0.16390441358089447,0.015000000596046448,0.0025794506072998047,0.0,0.0,0.0,0.0022956132888793945,0.0,0.01271490752696991,0.0,0.04,0.03974004206247628,False
89,0.16161932051181793,0.015000000596046448,0.002179287374019623,0.0,0.0,0.0,0.0025794506072998047,0.0,0.012826353311538696,0.0,0.04,0.035608517937362194,False
90,0.15944567322731018,0.015000000596046448,0.002471446990966797,0.0,0.0,0.0,0.0019320249557495117,0.0,0.012543760240077972,0.0,0.04,0.03543696098495275,False
91,0.1569775640964508,0.015000000596046448,0.002847909927368164,0.0,0.0,0.0,0.0012543201446533203,0.0,0.012179344892501831,0.0,0.04,0.04384466400370002,True
92,0.1541569083929062,0.015000000596046448,0.002249203622341156,0.0,0.0,0.0,0.0009764432907104492,0.0,0.012753784656524658,0.0,0.04,0.03981349489185959,False
93,0.1519106924533844,0.015000000596046448,0.002543926239013672,0.0,0.0,0.0,0.0006451606750488281,0.0,0.012457959353923798,0.0,0.04,0.04380679607857019,True
94,0.14936676621437073,0.015000000596046448,0.002655029296875,0.0,0.0,0.0,0.0005888938903808594,0.0,0.012350447475910187,0.0,0.04,0.04334533598739654,True
95,0.14671698212623596,0.015000000596046448,0.002306222915649414,0.0,0.0,0.0,0.00048613548278808594,0.0,0.01269558072090149,0.0,0.04,0.03972522297408432,False
96,0.144412562251091,0.015000000596046448,0.0025717318058013916,0.0,0.0,0.0,0.00036835670471191406,0.0,0.012428760528564453,0.0,0.04,0.04345066798850894,True
97,0.1418408304452896,0.015000000596046448,0.0021588802337646484,0.0,0.0,0.0,0.0003377199172973633,0.0,0.012841887772083282,0.0,0.04,0.035596194909885526,False
98,0.13968251645565033,0.015000008046627045,0.002600550651550293,0.0,0.0,0.0,0.0002319812774658203,0.0,0.012400045990943909,0.0,0.04,0.039888758095912635,False
99,0.1370825618505478,0.015000015497207642,0.00214269757270813,0.0,0.0,0.0,0.00023877620697021484,0.0,0.012857377529144287,0.0,0.04,0.03574246808420867,False
100,0.13493993878364563,0.015000000596046448,0.0025687217712402344,0.0,0.0,0.0,0.000164031982421875,0.0,0.012431338429450989,0.0,0.04,0.04027150594629347,True
101,0.1323712170124054,0.015000000596046448,0.003070235252380371,0.0,0.0,0.0,0.00016880035400390625,0.0,0.011929839849472046,0.0,0.04,0.05156955891288817,True
102,0.129301056265831,0.015000000596046448,0.0026908069849014282,0.0,0.0,0.0,0.00016188621520996094,0.0,0.012309208512306213,0.0,0.04,0.047730567981489,True
103,0.12661026418209076,0.015000000596046448,0.002561822533607483,0.0,0.0,0.0,0.002248406410217285,0.0,0.012438178062438965,0.0,0.04,0.043159316992387176,True
104,0.12404844164848328,0.015000000596046448,0.0026938170194625854,0.0,0.0,0.0,0.0025616884231567383,0.0,0.01230621337890625,0.0,0.04,0.04484891705214977,True
105,0.06311440467834473,0.011000007390975952,0.0028869658708572388,0.0023329854011535645,0.0023329854011535645,0.0023329854011535645,0.004000000189989805,0.0023329854011535645,0.008113041520118713,0.0,0.04,0.04716713598463684,True
106,0.07422113418579102,0.015000000596046448,0.0026245564222335815,0.004322350025177002,0.004322350025177002,0.004322350025177002,0.003999993205070496,0.006655335426330566,0.012375444173812866,0.0,0.04,0.05496125994250178,True
